Compound_Position,Compound_Name,log2_shNC_mean,log2_shRB1_1_mean,log2_shRB1_1_mean_shNC_mean
SK01I19,Vatalanib (PTK787) 2HCl,-0.290958145,0.008759676,-0.299717822
SK01I20,Methotrexate,-1.367879261,-1.186897613,-0.180981648
SK01I21,Varespladib (LY315920),-0.248723241,-0.400993239,0.152269998
SK01I22,Dacarbazine,-0.113111753,-0.276321965,0.163210212
SK01I23,DMSO,-0.022875972,0.219758925,-0.242634897
SK01I24,DMSO,0.375155076,0.354174556,0.020980521
SK01J01,Flavopiridol (Alvocidib),-0.294808132,-0.4548417,0.160033568
SK01J02,Meropenem,-0.315549363,-0.706012813,0.39046345
SK01J03,Amuvatinib (MP-470),-0.309543124,-0.171791122,-0.137752002
SK01J04,Pelitinib (EKB-569),-0.253294662,0.052756192,-0.306050854
SK01J05,Posaconazole,-1.463730578,-1.343944199,-0.119786379
SK01J06,Trilostane,-0.068753006,-0.321236551,0.252483545
SK01J07,WYE-354,-0.124639238,0.04071605,-0.165355288
SK01J08,Repaglinide,0.046462755,-0.451093905,0.49755666
SK01J09,Aniracetam,-0.001526099,-0.303329595,0.301803496
SK01J10,Venlafaxine,-0.386432754,-0.398789993,0.01235724
SK01J11,Cetirizine DiHCl,-0.432242543,-0.313098455,-0.119144088
SK01J12,PHA-680632,-0.271779502,-0.544123355,0.272343853
SK01J13,Mercaptopurine (6-MP),-0.298830245,-0.576492786,0.277662541
SK01J14,Moxifloxacin HCl,-0.270723425,-0.065696167,-0.205027258
SK01J15,Etomidate,-0.167148639,-0.508774059,0.34162542
SK01J16,SB525334,-0.147489929,-0.351219113,0.203729183
SK01J17,Ginkgolide B,-0.44700837,-0.332017685,-0.114990685
SK01J18,PHA-793887,-0.566037467,-1.377439592,0.811402125
SK01J19,Loratadine,-0.545704468,-0.736555532,0.190851063
SK01J20,Dyphylline,-0.14670839,-0.459477949,0.312769558
SK01J21,Acitretin,-0.466611795,-0.481326326,0.014714531
