Compound_Position,Compound_Name,log2_shNC_mean,log2_shRB1_1_mean,log2_shRB1_1_mean_shNC_mean
SK01N01,2-Methoxyestradiol (2-MeOE2),-2.431503276,-0.004212464,-2.427290812
SK01N02,Mosapride Citrate,-0.189702606,-0.312059114,0.122356508
SK01N03,JNJ-7706621,-0.185753259,-0.136587457,-0.049165802
SK01N04,Pizotifen Malate,-0.202029512,-0.191710677,-0.010318834
SK01N05,Ramelteon,-0.303981263,-0.278716306,-0.025264957
SK01N06,Bimatoprost,-0.244976545,-0.217831608,-0.027144937
SK01N07,Acarbose,-0.100664573,-0.177203829,0.076539256
SK01N08,Sildenafil Citrate,-1.99684881,-1.059874906,-0.936973904
SK01N09,Asenapine,-1.080800399,-0.258525336,-0.822275063
SK01N10,Zileuton,-0.821359924,-1.041401207,0.220041283
SK01N11,Cilostazol,-0.165599626,-0.205320536,0.03972091
SK01N12,Zibotentan (ZD4054),-0.178936438,-0.064793183,-0.114143256
SK01N13,Ki16425,-0.143341639,-0.201997365,0.058655726
SK01N14,Alfacalcidol,-0.194718234,-0.161816621,-0.032901613
SK01N15,Fluconazole,-0.065618726,-0.301120354,0.235501627
SK01N16,Zosuquidar (LY335979) 3HCl,-0.087203678,-0.20724778,0.120044102
SK01N17,Ivermectin,0.004119948,-0.166063344,0.170183292
SK01N18,PIK-93,-0.120704953,-0.111312971,-0.009391982
SK01N19,MGCD-265,-0.13307272,-0.217393749,0.084321029
SK01N20,Alprostadil,-0.143971509,-0.223997827,0.080026317
SK01N21,Doripenem Hydrate,-0.201057379,-0.297734479,0.0966771
SK01N22,MK-1775,-2.58005392,-1.664471503,-0.915582417
SK01N23,DMSO,0.314607186,0.312986172,0.001621014
SK01N24,DMSO,0.748743195,0.755893572,-0.007150377
SK01O01,Selumetinib (AZD6244),-0.05010338,0.07437015,-0.124473529
SK01O02,BMS-754807,-0.122931169,-0.000784999,-0.12214617
SK01O03,PD184352 (CI-1040),-0.143124927,0.018146117,-0.161271044
SK01O04,ADL5859 HCl,-0.161928022,-0.213443724,0.051515702
SK01O05,Panobinostat (LBH589),-2.639651629,-2.319967721,-0.319683908
SK01O06,Docetaxel,-2.66692798,-1.587199933,-1.079728047
SK01O07,Sorafenib Tosylate,-0.305308982,-0.305904458,0.000595476
SK01O08,MK-8245,-0.262633983,-0.193860376,-0.068773608
SK01O09,Y-27632 2HCl,-0.20489167,-0.303167351,0.09827568
SK01O10,TGX-221,-0.203083865,-0.25556905,0.052485186
SK01O11,Masitinib (AB1010),-0.200989657,-0.217936486,0.016946829
SK01O12,PD98059,-0.192132753,-0.343277903,0.15114515
SK01O13,ZSTK474,-0.182674457,-0.167371865,-0.015302593
SK01O14,Anastrozole,-0.243617076,-0.27970141,0.036084334
SK01O15,Belinostat (PXD101),-2.243940058,-1.196413714,-1.047526344
SK01O16,Exemestane,-0.254615368,-0.170710958,-0.08390441
SK01O17,LAQ824 (Dacinostat),-2.598342307,-1.858319212,-0.740023095
SK01O18,PIK-75,-3.924802128,-2.951732938,-0.97306919
SK01O19,GDC-0879,-0.229527331,-0.18867836,-0.040848971
SK01O20,Bleomycin Sulfate,-2.37293417,-1.0904935,-1.282440671
SK01O21,GSK690693,-0.245908839,-0.204666654,-0.041242185
SK01O22,Oxaliplatin,-0.253677447,-0.247888484,-0.005788963
SK01O23,DMSO,-0.140127706,-0.167938367,0.027810661
SK01O24,DMSO,0.679886696,0.745156743,-0.065270046
SK01P01,AG-1024 ,-0.142690709,-0.2122782,0.069587491
SK01P02,Nafamostat Mesylate,-0.171157426,-0.194527985,0.02337056
SK01P03,Enzalutamide (MDV3100),-0.104929641,-0.254483144,0.149553502
SK01P04,Resveratrol,-0.237368316,-0.285374126,0.04800581
SK01P05,Cinacalcet HCl,0.058549325,-0.121600754,0.180150079
SK01P06,Linezolid,-0.110673302,-0.218676169,0.108002868
SK01P07,BX-795,-0.178352372,-0.174789866,-0.003562506
SK01P08,Sumatriptan Succinate,-0.049896612,-0.036245472,-0.01365114
SK01P09,Benazepril HCl,0.008938529,-0.102188063,0.111126592
SK01P10,Ziprasidone HCl,-0.017623521,-0.214869164,0.197245643
SK01P11,Epothilone A,-2.879947086,-2.085680277,-0.794266809
SK01P12,Atazanavir Sulfate,0.253645628,-0.19308064,0.446726269
SK01P13,Costunolide,0.4400889,-0.075938944,0.516027843
SK01P14,Calcifediol,0.850933098,0.409781723,0.441151375
SK01P15,Flumazenil,0.918062193,0.751898453,0.16616374
SK01P16,Daclatasvir (BMS-790052),0.956934687,0.774329213,0.182605474
SK01P17,TG100-115,0.827661692,0.84751419,-0.019852498
SK01P18,Ponatinib (AP24534),-0.187112514,0.358858508,-0.545971023
SK01P19,Rigosertib (ON-01910),-3.145466336,-1.592115625,-1.553350711
SK01P20,Lactulose ,0.745748946,0.699110017,0.046638929
SK01P21,Gestodene,0.714406582,0.714898945,-0.000492362
SK01P22,Quizartinib (AC220),0.141408008,0.84783047,-0.706422462
SK01P23,DMSO,0.722754409,0.782896965,-0.060142557
